chunk,chunk,chunk,chunk,chunk,chunk,chunk,f1,f1,f1,f1,f1,f1,f1,f1
key,chunk_index,start_index,end_index,start_date,end_date,period,value,realized,sampling_error,upper_confidence_boundary,lower_confidence_boundary,upper_threshold,lower_threshold,alert
[0:4999],0,0,4999,2018-01-01 00:00:00,2018-01-31 06:27:16.848,reference,0.9428510550532743,0.9447070914696813,0.006439722351761725,0.9621702221085594,0.9235318879979891,0.9508500418298859,0.9346600731176969,False
[5000:9999],1,5000,9999,2018-01-31 06:36:00,2018-03-02 13:03:16.848,reference,0.9405232713667925,0.9375643931588709,0.006439722351761725,0.9598424384220776,0.9212041043115073,0.9508500418298859,0.9346600731176969,False
[10000:14999],2,10000,14999,2018-03-02 13:12:00,2018-04-01 19:39:16.848,reference,0.9431786118376183,0.9459730869652541,0.006439722351761725,0.9624977788929034,0.9238594447823332,0.9508500418298859,0.9346600731176969,False
[15000:19999],3,15000,19999,2018-04-01 19:48:00,2018-05-02 02:15:16.848,reference,0.9427019353363117,0.9432118868308569,0.006439722351761725,0.9620211023915969,0.9233827682810266,0.9508500418298859,0.9346600731176969,False
[20000:24999],4,20000,24999,2018-05-02 02:24:00,2018-06-01 08:51:16.848,reference,0.9422714491504791,0.9379891631547261,0.006439722351761725,0.9615906162057642,0.922952282095194,0.9508500418298859,0.9346600731176969,False
[25000:29999],5,25000,29999,2018-06-01 09:00:00,2018-07-01 15:27:16.848,reference,0.9423883649931033,0.9425807779378473,0.006439722351761725,0.9617075320483884,0.9230691979378182,0.9508500418298859,0.9346600731176969,False
[30000:34999],6,30000,34999,2018-07-01 15:36:00,2018-07-31 22:03:16.848,reference,0.9407466871471613,0.9441397521836279,0.006439722351761725,0.9600658542024464,0.9214275200918761,0.9508500418298859,0.9346600731176969,False
[35000:39999],7,35000,39999,2018-07-31 22:12:00,2018-08-31 04:39:16.848,reference,0.9447153926696101,0.9446122860020141,0.006439722351761725,0.9640345597248953,0.925396225614325,0.9508500418298859,0.9346600731176969,False
[40000:44999],8,40000,44999,2018-08-31 04:48:00,2018-09-30 11:15:16.848,reference,0.9442338673604118,0.9445228969134558,0.006439722351761725,0.963553034415697,0.9249147003051267,0.9508500418298859,0.9346600731176969,False
[45000:49999],9,45000,49999,2018-09-30 11:24:00,2018-10-30 17:51:16.848,reference,0.9439092009514648,0.9422492401215805,0.006439722351761725,0.9632283680067499,0.9245900338961797,0.9508500418298859,0.9346600731176969,False
[0:4999],0,0,4999,2018-10-30 18:00:00,2018-11-30 00:27:16.848,analysis,0.9432175732081082,,0.006439722351761725,0.9625367402633933,0.923898406152823,0.9508500418298859,0.9346600731176969,False
[5000:9999],1,5000,9999,2018-11-30 00:36:00,2018-12-30 07:03:16.848,analysis,0.9411057135508308,,0.006439722351761725,0.960424880606116,0.9217865464955457,0.9508500418298859,0.9346600731176969,False
[10000:14999],2,10000,14999,2018-12-30 07:12:00,2019-01-29 13:39:16.848,analysis,0.9429740766575337,,0.006439722351761725,0.9622932437128189,0.9236549096022486,0.9508500418298859,0.9346600731176969,False
[15000:19999],3,15000,19999,2019-01-29 13:48:00,2019-02-28 20:15:16.848,analysis,0.9423305612617072,,0.006439722351761725,0.9616497283169924,0.9230113942064221,0.9508500418298859,0.9346600731176969,False
[20000:24999],4,20000,24999,2019-02-28 20:24:00,2019-03-31 02:51:16.848,analysis,0.944021162071741,,0.006439722351761725,0.9633403291270262,0.9247019950164559,0.9508500418298859,0.9346600731176969,False
[25000:29999],5,25000,29999,2019-03-31 03:00:00,2019-04-30 09:27:16.848,analysis,0.9255820811826746,,0.006439722351761725,0.9449012482379597,0.9062629141273895,0.9508500418298859,0.9346600731176969,True
[30000:34999],6,30000,34999,2019-04-30 09:36:00,2019-05-30 16:03:16.848,analysis,0.925910758569698,,0.006439722351761725,0.9452299256249831,0.9065915915144128,0.9508500418298859,0.9346600731176969,True
[35000:39999],7,35000,39999,2019-05-30 16:12:00,2019-06-29 22:39:16.848,analysis,0.9251660696802283,,0.006439722351761725,0.9444852367355134,0.9058469026249432,0.9508500418298859,0.9346600731176969,True
[40000:44999],8,40000,44999,2019-06-29 22:48:00,2019-07-30 05:15:16.848,analysis,0.9265406823506558,,0.006439722351761725,0.9458598494059409,0.9072215152953707,0.9508500418298859,0.9346600731176969,True
[45000:49999],9,45000,49999,2019-07-30 05:24:00,2019-08-29 11:51:16.848,analysis,0.926724304335092,,0.006439722351761725,0.9460434713903771,0.9074051372798069,0.9508500418298859,0.9346600731176969,True
